index,x,y,z,Date,cluster,Person
MSS328,2.4427211,9.650945,10.60477,2006,0,Manmohan Singh
MSS329,2.958708,8.200289,8.398087,2006,4,Manmohan Singh
MSS330,2.1949046,7.718513,10.407419,2006,1,Manmohan Singh
MSS331,2.4717574,10.045161,9.062451,2006,0,Manmohan Singh
MSS332,1.2002695,6.756726,9.652008,2006,1,Manmohan Singh
MSS333,2.4860768,8.7231245,10.686854,2006,4,Manmohan Singh
MSS334,2.3351138,7.849949,10.405919,2006,1,Manmohan Singh
MSS335,2.7607808,6.640241,9.056269,2006,1,Manmohan Singh
MSS336,1.7903936,9.706312,9.973683,2006,0,Manmohan Singh
MSS337,2.390352,7.279727,9.918208,2006,1,Manmohan Singh
MSS338,1.789384,9.981451,9.481986,2006,0,Manmohan Singh
MSS339,1.5474675,9.769578,8.9321375,2006,0,Manmohan Singh
MSS340,1.9482496,10.321759,9.33089,2006,0,Manmohan Singh
MSS341,2.2219303,8.930957,10.57744,2006,2,Manmohan Singh
MSS342,3.5203774,10.01751,7.988276,2006,3,Manmohan Singh
MSS343,1.0509617,8.497956,9.099731,2006,2,Manmohan Singh
MSS344,1.9476223,8.969928,10.1753025,2006,2,Manmohan Singh
MSS345,1.9520615,9.844777,9.109122,2006,0,Manmohan Singh
MSS346,1.0728816,8.16709,10.2432375,2006,2,Manmohan Singh
MSS347,2.7610688,9.029122,7.138612,2006,4,Manmohan Singh
MSS348,3.4538078,10.462223,7.519388,2006,3,Manmohan Singh
MSS350,1.7675145,8.111532,9.880251,2006,1,Manmohan Singh
MSS351,2.259246,8.564425,10.649035,2006,2,Manmohan Singh
MSS352,1.4161962,7.988928,9.744388,2006,1,Manmohan Singh
MSS353,1.9501957,9.963403,9.975653,2006,0,Manmohan Singh
MSS354,0.6825704,7.9475007,8.731158,2006,1,Manmohan Singh
MSS355,1.6695131,8.879995,10.611933,2006,2,Manmohan Singh
MSS356,1.947171,8.629121,10.268032,2006,2,Manmohan Singh
MSS357,2.5000567,7.6884985,10.269749,2006,1,Manmohan Singh
MSS358,2.1015882,9.580565,9.78417,2006,0,Manmohan Singh
MSS359,2.1175177,8.984181,10.643114,2006,2,Manmohan Singh
MSS360,2.0943298,8.880625,10.50852,2006,2,Manmohan Singh
MSS361,2.4058726,9.321946,10.585308,2006,0,Manmohan Singh
MSS362,1.6813442,9.630914,8.884074,2006,0,Manmohan Singh
MSS364,4.0697174,10.433908,6.954775,2006,3,Manmohan Singh
MSS365,2.2535071,8.559308,9.866512,2006,2,Manmohan Singh
MSS366,1.8544487,6.9189672,10.243238,2006,1,Manmohan Singh
MSS367,2.1585996,7.3958406,9.097841,2006,1,Manmohan Singh
MSS368,2.0071795,9.733359,10.226286,2006,0,Manmohan Singh
MSS369,0.8320091,8.772538,8.019847,2006,2,Manmohan Singh
MSS370,1.3954127,8.626617,9.1115,2006,2,Manmohan Singh
MSS371,2.275958,9.569602,8.413148,2006,0,Manmohan Singh
MSS372,1.0787191,8.772976,8.926941,2006,2,Manmohan Singh
MSS373,2.2218254,7.272817,10.118767,2006,1,Manmohan Singh
MSS374,2.2445433,7.726323,10.138765,2006,1,Manmohan Singh
